year,month,origin,destination,number_of_flights
2019,1,UUEE,EDDF,186
2019,1,EHAM,LFPG,312
2019,1,LIRF,UUEE,182
2019,1,EDDF,UUEE,152
2019,1,LEMG,LKPR,28
2019,1,EDDS,UUEE,56
2019,1,EHAM,UUEE,160
2019,1,LFLL,UUEE,48
2019,1,EDDM,UUEE,119
2019,1,LFPG,LTBA,96
2019,1,EGLL,UUDD,50
2019,1,LTBA,UUWW,156
2019,1,LEMG,LMML,3
2019,1,LIPZ,UUEE,57
2019,1,LPPT,EFHK,49
2019,1,ESGG,UUEE,23
2019,1,EDDB,UUEE,134
2019,1,LHBP,UUEE,84
2019,1,EGLL,LTBA,88
2019,1,LFPG,UUEE,256
2019,1,EKCH,UUEE,56
2019,1,LGAV,UUEE,41
2019,1,EBBR,UUEE,77
2019,1,LROP,UUEE,47
2019,1,LIMC,UUEE,161
2019,1,EDDK,LGAV,17
2019,1,LOWW,UUEE,113
2019,1,EGLL,UUEE,141
2019,1,EGLL,LGAV,100
2019,1,LPPT,LROP,30
2019,1,LPPT,UUDD,24
2019,1,EGLL,ENGM,41
2019,1,LEMD,UUEE,58
2019,1,LKPR,UUEE,230
2019,1,ESSA,UUEE,56
2019,1,LTBA,UUEE,140
2019,1,EDDB,LBSF,30
2019,1,EVRA,UUEE,218
2019,1,EETN,UUEE,77
2019,1,EFHK,EKCH,230
2019,1,URRP,LTBA,14
2019,1,LTBA,EDDF,221
2019,1,LTBA,LFPG,234
2019,1,EDDP,EGGW,32
2019,1,UUEE,EVRA,232
2019,1,LBSF,EDDS,1
2019,1,EYVI,UUEE,73
2019,1,UUDD,EGLL,44
2019,1,UUEE,LIRF,208
2019,1,ULLI,UUDD,287
2019,1,EDDP,EDDF,130
2019,1,ULLI,UUEE,696
2019,1,EFHK,UUEE,103
2019,1,EETN,EVRA,66
2019,1,LBSF,EGGW,56
2019,1,LROP,EHAM,80
2019,1,UUEE,LEMD,60
2019,1,EYVI,EVRA,79
2019,1,LGAV,LIRF,150
2019,1,LROP,LFPG,127
2019,1,UUWW,ULLI,243
2019,1,UUEE,LFPG,244
2019,1,EYVI,EGGW,52
2019,1,LBSF,EKCH,16
2019,1,LROP,LIME,73
2019,1,LROP,LSGG,10
2019,1,LGAV,LFPG,100
2019,1,UUEE,LTBA,146
2019,1,LIRF,LIMC,201
2019,1,EVRA,EGGW,38
2019,1,UUEE,LIMC,145
2019,1,LGIR,LGAV,168
2019,1,UUEE,UWUU,267
2019,1,LROP,LPPT,25
2019,1,UUDD,EDDF,107
2019,1,UUEE,ULLI,285
2019,1,UWUU,UUEE,235
2019,1,LROP,EGGW,115
2019,1,UUDD,UUEE,14
2019,1,LEMD,LIRF,323
2019,1,EFHK,LEMG,75
2019,1,LGAV,LSZH,82
2019,1,EDDL,LEAL,37
2019,1,LSZH,EGCC,49
2019,1,EDDH,EDDF,351
2019,1,UUEE,EDDM,115
2019,1,LFBD,LFPG,201
2019,1,ESSA,LFPG,140
2019,1,UUEE,LEBL,72
2019,1,EPWA,EGBB,10
2019,1,EDDL,UUEE,117
2019,1,EKCH,EHAM,242
2019,1,LKPR,LPPT,35
2019,1,LEMG,ESSA,95
2019,1,EKCH,EFHK,264
2019,1,LICJ,LIRF,82
2019,1,EDDH,LPPT,61
2019,1,EDDM,LPPT,102
2019,1,LSGG,LSZH,271
2019,1,LEMG,LFPG,103
2019,1,LFLL,LFPG,175
2019,1,EBBR,LPPT,135
2019,1,LWSK,ESGG,11
2019,1,UUEE,EGLL,133
2019,1,EPWA,EGGW,81
2019,1,LGAV,LGIR,202
2019,1,LOWW,LIRF,144
2019,1,LHBP,EGGW,95
2019,1,LWSK,EGGW,12
2019,1,EPWA,LHBP,23
2019,1,LTBA,LMML,59
2019,1,LHBP,UUWW,35
2019,1,ELLX,EHAM,56
2019,1,EFHK,EHAM,139
2019,1,LFPG,LIRF,323
2019,1,LKPR,EDDS,7
2019,1,EPGD,EGGW,56
2019,1,LIPX,LIRF,112
2019,1,LIMF,LFPG,90
2019,1,UUEE,LEMG,41
2019,1,LHBP,LMML,19
2019,1,EDDF,LPPT,169
2019,1,UUWW,LIME,61
2019,1,EDDV,EDDF,142
2019,1,LTBA,EKBI,39
2019,1,LHBP,LFPG,92
2019,1,LGAV,EDDF,111
2019,1,LIRF,LPPT,100
2019,1,LIPZ,LIRF,169
2019,1,LHBP,EGBB,10
2019,1,UUDD,ESSA,22
2019,1,LHBP,LWSK,11
2019,1,LTBA,LROP,142
2019,1,LHBP,LIMC,49
2019,1,EVRA,LFPG,49
2019,1,LTBA,LEMD,81
2019,1,EYVI,EHEH,11
2019,1,EBBR,LIMC,76
2019,1,EDDB,LGAV,25
2019,1,LEBL,LIRF,169
2019,1,LIRF,EGKK,125
2019,1,LOWW,EDDH,187
2019,1,EDDM,EDDK,371
2019,1,LIMC,LPPT,99
2019,1,LSZH,EDDF,271
2019,1,LTBA,LIRN,1
2019,1,UUEE,EDDL,129
2019,1,ENVA,EHAM,6
2019,1,LSGG,LFBD,52
2019,1,LFPG,LFBO,283
2019,1,LTBA,EGKK,46
2019,1,LOWW,EDDM,220
2019,1,LWSK,EKCH,9
2019,1,EVRA,LOWW,48
2019,1,LEPA,LEMD,40
2019,1,EDDL,EDDF,139
2019,1,EVRA,EKCH,53
2019,1,LFLL,EGLL,58
2019,1,UUEE,EDDB,146
2019,1,LIMC,LEMG,20
2019,1,LTBA,LKPR,99
2019,1,ESSA,EKCH,489
2019,1,LIMF,EHAM,51
2019,1,EDDF,LIEE,1
2019,1,EDDH,LFPG,135
2019,1,LEMD,EBBR,20
2019,1,LIPZ,LFPG,205
2019,1,LOWW,EGLL,170
2019,1,LPPT,LFPG,141
2019,1,LTBA,LDZA,39
2019,1,EFHK,LFPG,132
2019,1,LEMD,LFPG,313
2019,1,LHBP,BIKF,10
2019,1,EVRA,EHAM,56
2019,1,LEAL,LFPO,15
2019,1,LFPO,LEMD,322
2019,1,EPWA,LFPG,139
2019,1,EFHK,BIKF,50
2019,1,UUWW,EFHK,35
2019,1,LGAV,LTBA,55
2019,1,EVRA,EFHK,52
2019,1,EDDV,EDDL,10
2019,1,LTBA,EDDM,98
2019,1,UUEE,EFHK,113
2019,1,LEMG,EKCH,79
2019,1,LTBA,LPPT,52
2019,1,LFPO,LIRF,174
2019,1,LIMC,LFPG,319
2019,1,EVRA,EDDM,42
2019,1,EHAM,LKPR,142
2019,1,LTBA,LWSK,58
2019,1,EBBR,LEAL,53
2019,1,ENGM,EHAM,122
2019,1,LSGG,LIRF,118
2019,1,EVRA,ULLI,19
2019,1,LFPO,LFBO,706
2019,1,LIMC,LEMD,159
