origin,destination,2019-1,2019-10,2019-11,2019-12,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2020-1,2020-10,2020-11,2020-12,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2021-1,2021-10,2021-11,2021-12,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2022-1,2022-2,2022-3,2022-4,2022-5
RU,DE,1397,1247,1175,1245,1207,1335,1269,1342,1205,1321,1358,1270,1340,247,245,320,1188,719,151,199,190,207,207,230,286,571,630,668,270,343,397,480,504,564,535,471,586,443,2,2,0
NL,FR,586,717,664,634,606,667,669,728,655,668,638,695,613,313,263,290,598,520,84,76,148,306,393,352,307,492,563,687,255,261,270,304,360,565,565,456,631,521,672,796,875
IT,RU,710,790,769,743,512,580,622,659,748,832,864,716,770,52,52,59,742,314,46,42,35,43,45,43,57,207,202,202,59,74,103,140,168,216,211,164,227,160,1,0,1
DE,RU,1189,1150,1190,1172,1036,1190,1257,1227,1155,1247,1223,1160,1149,239,214,276,1085,675,158,199,165,193,192,191,252,602,640,707,245,287,373,441,512,582,537,444,567,451,0,1,0
ES,CZ,121,139,152,179,138,126,11,46,42,16,1,9,111,61,44,44,124,95,3,2,8,120,153,107,32,128,122,159,16,31,54,79,121,190,172,123,131,114,149,236,197
NL,RU,197,206,248,216,181,212,242,243,212,252,255,213,192,47,59,59,183,155,18,45,23,35,35,47,58,180,153,154,61,85,84,82,103,155,151,130,144,114,1,1,1
FR,RU,335,391,367,349,322,376,453,457,440,481,470,413,316,26,28,38,315,220,17,33,13,27,20,20,61,139,167,186,36,53,56,84,142,240,212,111,174,139,0,1,1
FR,TR,138,3,6,8,103,104,2,6,1,0,1,0,13,26,28,27,12,20,12,27,15,19,19,26,113,178,181,197,102,88,102,109,154,241,261,208,152,151,177,201,279
GB,RU,246,309,315,305,227,257,289,268,273,257,268,253,268,141,112,119,306,273,16,63,46,43,82,122,54,128,106,130,70,58,57,44,73,65,56,86,116,89,0,0,0
TR,RU,346,21,18,16,311,300,60,6,5,10,11,8,15,18,13,19,16,14,14,20,14,14,17,22,384,391,452,430,344,457,243,49,89,262,326,312,384,325,314,240,259
ES,MT,28,68,46,44,31,3,4,10,62,10,60,73,40,25,13,9,51,26,3,8,1,26,58,29,12,58,56,46,11,15,17,31,61,93,78,70,26,42,40,57,69
PT,FI,49,51,52,41,33,43,48,48,41,38,39,25,36,0,0,0,46,28,0,0,0,0,0,0,0,18,17,17,2,1,0,1,3,19,22,20,24,22,31,35,39
SE,RU,130,101,119,102,106,128,143,140,105,115,110,110,97,24,23,21,109,77,26,21,19,24,22,24,22,46,36,45,25,30,29,36,53,47,50,39,36,31,0,0,0
HU,RU,125,176,150,145,115,136,186,180,162,157,166,170,133,15,14,18,139,103,3,9,10,12,7,6,11,92,103,117,13,16,24,21,34,35,36,54,108,90,1,0,0
GB,TR,168,5,9,4,142,133,4,9,3,1,0,4,4,26,21,33,10,22,36,90,22,19,22,21,112,217,286,259,91,102,142,100,110,130,146,141,222,210,220,268,324
DK,RU,59,57,62,56,50,57,59,59,59,62,63,55,54,5,1,2,59,35,2,0,0,1,4,3,2,19,14,20,1,12,3,9,19,13,16,16,16,8,0,1,0
GR,RU,61,149,70,61,28,37,36,181,253,245,275,251,62,8,3,5,61,49,1,1,2,16,18,3,12,56,60,31,3,7,10,10,25,36,99,71,53,29,0,0,0
BE,RU,100,97,96,96,84,106,76,105,100,105,99,96,87,5,0,0,79,73,3,6,3,0,1,1,0,11,8,6,1,2,6,4,17,8,13,9,11,8,0,1,1
RO,RU,49,36,34,4,45,46,60,58,58,24,2,2,8,0,0,0,13,40,17,3,0,0,1,0,0,12,12,14,1,1,1,6,10,15,14,13,10,16,0,0,0
DE,GR,288,1018,354,387,336,377,577,1050,975,1039,1022,1024,349,204,235,124,268,234,44,50,147,565,371,246,50,224,288,301,87,116,114,148,112,180,278,238,248,200,258,317,263
AT,RU,206,238,239,226,172,203,256,253,243,256,248,234,226,43,45,44,210,128,17,18,15,28,30,44,63,120,120,119,62,65,69,81,107,110,101,101,119,91,0,0,0
GB,GR,231,545,249,289,243,267,396,628,605,678,674,636,273,119,118,102,172,159,7,7,7,149,354,228,14,219,181,219,26,26,29,65,59,125,267,239,201,148,203,293,282
PT,RO,30,13,10,1,5,8,15,15,15,6,1,0,2,8,4,5,4,14,3,10,12,7,9,9,2,16,11,17,0,1,6,3,14,20,21,18,10,9,18,21,21
PT,RU,51,53,57,50,36,46,50,57,41,46,44,32,40,4,2,3,50,32,3,4,0,0,1,1,2,14,16,17,1,1,5,6,8,11,17,14,11,16,0,0,1
GB,NO,110,555,355,475,315,283,149,345,538,515,589,568,550,87,39,44,476,355,6,2,2,91,146,126,39,265,366,404,18,22,25,27,51,79,84,175,264,285,416,566,567
ES,RU,222,402,267,247,273,315,385,438,484,522,534,496,226,40,49,54,280,183,25,45,17,44,60,39,56,111,110,131,61,83,70,119,134,157,146,84,151,110,0,0,1
CZ,RU,287,250,344,311,216,239,255,184,205,157,168,179,276,23,28,33,300,181,8,6,16,21,16,12,26,64,55,60,28,33,46,49,47,47,40,52,73,52,0,0,0
DE,BG,241,14,4,2,176,73,11,26,45,49,29,23,3,28,33,14,7,6,2,0,15,101,13,4,2,233,224,242,9,8,4,12,202,305,313,246,236,182,131,143,253
LV,RU,296,346,385,376,243,275,364,361,339,386,401,368,355,73,69,98,332,224,18,25,44,74,64,61,87,129,114,127,82,101,109,142,167,146,140,104,116,127,0,0,0
EE,RU,84,72,70,71,81,74,75,60,76,71,71,62,67,13,14,16,67,33,13,14,16,16,10,9,14,28,19,20,13,18,16,25,37,36,22,23,14,18,1,0,0
FI,DK,236,335,296,262,248,294,249,281,317,297,310,315,277,49,41,33,270,163,18,14,66,81,115,64,48,202,201,206,46,47,43,33,64,68,118,133,133,130,155,227,222
RU,TR,269,9,12,10,215,206,26,10,21,4,8,5,6,22,22,20,6,18,15,16,11,9,21,32,372,367,443,313,318,352,206,48,117,341,358,310,296,294,273,182,293
TR,DE,958,52,59,55,837,898,181,30,31,30,28,34,58,95,94,90,61,72,92,100,84,73,83,77,369,741,647,744,307,429,456,434,392,676,827,751,654,571,657,878,816
TR,FR,342,33,26,14,311,350,77,25,26,28,27,28,23,12,13,12,25,19,9,19,9,9,11,12,111,203,214,272,89,97,88,122,100,192,231,195,251,183,226,321,333
DE,GB,2840,3747,3410,3227,3604,4002,3632,3722,3480,3656,3469,3369,3141,1334,661,620,3035,2093,282,285,445,848,1087,1117,522,1668,2000,1968,409,491,591,584,699,826,1177,1343,1167,1411,2240,2807,2920
RU,LV,335,410,398,415,275,333,403,425,382,438,465,431,425,138,128,162,392,253,14,29,37,162,202,131,116,130,108,109,99,112,124,136,160,182,197,129,127,112,0,0,1
BG,DE,242,30,20,9,172,66,14,69,157,161,111,114,4,10,5,4,4,13,2,5,11,121,51,20,4,234,233,240,2,2,4,11,205,369,394,242,222,181,123,134,253
LT,RU,76,35,37,20,54,24,4,1,2,3,28,37,3,32,24,30,0,2,11,17,19,15,27,16,25,22,17,25,40,46,51,39,26,29,15,21,6,13,0,0,0
RU,GB,263,379,357,350,312,355,350,318,318,319,323,305,357,174,139,129,342,306,23,64,45,42,123,152,85,121,138,127,67,76,95,78,83,71,71,113,141,87,1,0,0
RU,IT,766,794,732,778,553,590,491,478,723,836,846,686,846,34,37,39,787,311,36,35,36,29,22,28,45,189,189,202,45,62,98,126,159,201,184,143,216,158,0,0,0
RU,RU,4291,2652,3525,3002,3288,3204,3697,3854,2929,3838,3330,3369,3451,2585,2119,2874,2853,3309,663,786,1956,2229,2552,2668,2547,4090,3626,2230,1556,2888,3206,4102,4800,4547,4239,1956,2564,2881,2855,2969,3539
DE,DE,8958,10376,9382,8704,9048,9641,8766,9615,8599,9190,8771,9455,9206,4335,3925,3869,9257,5626,1405,1526,2427,3628,3818,4474,3322,7823,8254,7334,2830,3590,3623,3872,4708,5730,5773,6518,6467,6163,7795,8605,9486
