origin,destination,2019-1,2019-10,2019-11,2019-12,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2020-1,2020-10,2020-11,2020-12,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2021-1,2021-10,2021-11,2021-12,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2022-1,2022-2,2022-3,2022-4,2022-5
RU-MOS,DE-HE,295,249,246,227,259,291,245,266,249,257,264,238,239,93,95,126,214,147,52,88,66,89,88,89,90,137,163,216,97,88,112,129,137,163,152,142,163,113,0,0,0
NL-NH,FR-IDF,355,420,408,394,383,405,400,410,362,366,352,383,412,189,183,201,383,345,84,76,119,197,204,192,215,273,332,352,192,203,198,192,219,281,290,259,319,280,339,354,348
IT-62,RU-MOS,221,278,257,247,208,252,252,258,261,263,272,211,257,8,8,8,245,132,3,3,3,10,9,8,13,43,44,42,12,11,18,22,27,32,33,32,40,30,0,0,0
DE-HE,RU-MOS,265,272,265,256,240,284,285,292,283,290,291,258,251,78,86,101,233,144,65,91,57,62,73,68,73,137,158,210,78,78,102,115,121,153,143,128,156,104,0,0,0
ES-AN,CZ-PR,28,24,27,29,24,22,4,6,7,2,0,2,17,23,27,26,18,15,1,1,2,24,33,22,17,16,25,41,11,16,25,28,34,51,34,12,42,14,12,22,5
DE-BW,RU-MOS,56,64,61,58,53,60,61,57,62,62,58,55,54,1,0,1,56,24,0,1,1,0,0,1,1,12,9,12,1,2,3,4,8,10,9,8,9,6,0,0,0
NL-NH,RU-MOS,170,187,212,192,162,193,184,195,189,213,218,183,172,47,59,59,164,141,18,43,23,33,35,47,58,152,130,145,59,77,76,73,94,124,126,120,129,101,1,1,1
FR-ARA,RU-MOS,48,54,48,54,49,52,61,57,56,56,59,52,50,0,0,1,47,24,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0
DE-BY,RU-MOS,344,280,236,266,269,317,276,285,285,301,302,288,302,35,17,34,239,132,7,13,19,23,15,20,32,71,88,90,26,36,43,37,50,66,62,58,80,56,0,0,0
FR-IDF,TR-34,96,2,6,8,68,71,2,5,1,0,1,0,12,25,28,27,12,19,11,27,14,18,16,25,86,138,144,150,75,74,77,83,115,165,181,160,115,112,126,129,178
GB-ENG,RU-MOS,214,296,270,280,205,237,246,239,252,227,247,223,248,133,111,106,287,249,16,62,43,43,77,114,54,121,95,123,68,58,56,43,64,65,54,82,114,82,0,0,0
TR-34,RU-MOS,310,21,17,16,283,278,51,6,5,9,9,7,15,17,13,18,15,14,14,20,14,14,17,20,306,295,338,369,298,378,208,49,75,217,272,279,314,246,225,172,205
ES-AN,MT-25,3,7,0,1,1,2,0,1,7,2,8,9,2,1,5,1,1,0,1,1,0,3,2,0,3,2,5,3,0,4,6,1,2,1,2,4,2,0,0,0,0
IT-34,RU-MOS,141,140,126,134,63,58,59,58,113,117,132,122,167,6,5,7,165,51,0,0,1,3,3,5,8,36,18,28,6,6,13,23,25,27,23,32,46,34,1,0,0
PT-11,FI-18,49,51,51,41,33,43,48,48,40,38,39,24,36,0,0,0,46,27,0,0,0,0,0,0,0,14,15,16,1,1,0,0,3,14,13,12,23,22,30,30,32
SE-Q,RU-MOS,23,0,1,1,14,17,31,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0
DE-BR,RU-MOS,138,161,161,151,142,153,163,158,153,154,159,146,147,17,8,16,161,129,5,5,3,11,17,15,24,68,67,68,20,23,36,43,46,54,53,48,63,55,0,1,0
HU-PE,RU-MOS,119,174,139,129,110,132,169,169,156,148,158,161,123,15,14,18,129,96,3,9,8,12,6,6,10,77,83,100,13,16,24,20,29,34,32,50,96,77,1,0,0
GB-ENG,TR-34,161,5,9,4,133,129,4,9,2,0,0,3,4,26,21,32,10,22,36,88,21,19,22,21,108,208,276,251,88,102,142,100,106,127,139,133,211,202,211,254,304
FR-IDF,RU-MOS,268,299,254,247,259,301,329,345,317,334,319,291,234,20,21,36,228,168,14,30,9,14,13,14,35,106,98,100,27,24,35,36,66,93,94,88,93,65,0,1,1
DK-84,RU-MOS,56,57,62,55,50,57,59,59,59,62,62,55,52,4,0,2,59,35,1,0,0,0,1,0,1,16,13,18,1,8,2,7,14,12,16,15,16,8,0,1,0
GR-I,RU-MOS,61,76,68,59,27,36,11,82,110,99,123,92,59,7,3,5,61,48,1,1,2,10,17,2,11,54,57,31,3,7,10,8,24,35,96,70,53,29,0,0,0
BE-BRU,RU-MOS,99,97,94,93,84,106,67,98,97,101,93,89,86,5,0,0,79,73,3,6,3,0,1,1,0,9,8,6,1,2,6,3,11,7,11,9,11,8,0,1,1
RO-IF,RU-MOS,48,36,34,4,45,46,60,58,58,24,2,2,8,0,0,0,13,40,16,3,0,0,1,0,0,12,12,14,0,1,1,6,9,14,14,13,10,16,0,0,0
IT-25,RU-MOS,241,243,262,269,204,230,217,244,235,246,248,219,253,34,36,38,239,89,17,21,21,27,19,28,33,80,78,100,37,43,51,50,72,91,70,62,103,72,0,0,0
